iter	Passed	Remaining
0	1	112
1	2	108
2	3	101
3	3	95
4	5	98
5	6	96
6	7	95
7	8	92
8	8	89
9	10	92
10	11	90
11	12	88
12	13	87
13	14	90
14	16	90
15	17	90
16	18	89
17	19	87
18	20	87
19	22	88
20	23	87
21	24	85
22	24	83
23	26	83
24	27	81
25	28	80
26	28	78
27	30	77
28	31	76
29	32	74
30	33	73
31	34	72
32	35	71
33	35	69
34	37	68
35	38	67
36	39	67
37	40	66
38	42	65
39	43	65
40	44	64
41	45	63
42	47	62
43	47	60
44	49	59
45	49	58
46	50	57
47	52	56
48	53	55
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	63	46
58	64	45
59	66	44
60	67	42
61	68	41
62	70	41
63	71	40
64	72	39
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	88	23
79	89	22
80	91	21
81	92	20
82	93	19
83	94	18
84	96	16
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	9
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	112	1
99	114	0
